;Title, http://www.gcdataconcepts.com, X16-ham, ADXL345, BMP280, GPS
;Version, 2165, Build date, Apr 21 2021,  SN:CCDC2020122BF1D
;Start_time, 2021-05-19, 01:35:48.395
;Uptime, 5,sec,  Vbat, 4144, mv, EOL, 3500, mv
;SampleRate, 25,Hz
;Deadband, 0, counts
;DeadbandTimeout, 5.000,sec
;SampleRate, 25,Hz
;Gps Sats, TOW, 264962800, ver, 1, numSat, 17
;, gnssId, svId, cno, elev, azmith, prRes, flags,inUse
;, UNKN, 001, 03, 16, -4096, -13566, 0x004c000f,*
;, GPS , 015, 36, 49, 103, 0, 0x00001213
;, GPS , 016, 01, 00, 4096, 26, 0x00140000
;, UNKN, 058, 00, 00, 4096, 26, 0x22170000
;, UNKN, 235, 00, 00, 4864, 18, 0x271d0000
;, UNKN, 157, 00, 00, 4864, 26, 0x00020600
;, UNKN, 031, 00, 00, 4096, 18, 0x00030600
;, UNKN, 058, 00, 00, 4096, 26, 0x00040600
;, UNKN, 187, 00, 00, 4096, 18, 0x00050600
;, IMES, 202, 00, 00, 4096, 26, 0x00090600
;, GAL , 014, 01, 00, 4096, 18, 0x000a0600
;, UNKN, 059, 01, 00, 4096, 26, 0x000b0600
;, BeDu, 004, 00, 00, 8192, 26, 0x00110600
;, UNKN, 122, 00, 00, 4096, 18, 0x00120600
;, UNKN, 102, 00, 00, 4096, 18, 0x00130600
;, UNKN, 085, 01, 00, 4096, 18, 0x00140600
;, UNKN, 055, 01, 00, 4096, 18, 0xb534a400
;BMP280 SI, 0.000
;Time, Ax, Ay, Az, P, T, TOW, Lat,Lon, Height(m), MSL(m), hdop(m), vdop(m)
1621388149.101109,-1629,-86,1178,84576,24042, 264962.800, 45.2875239,-113.8916090, 1140.980,1159.163, 0.001,0.001
1621388149.140965,-1599,-84,1144, 
1621388149.180821,-1634,-61,1117, 
1621388149.220677,-1613,-125,1167, 
1621388149.260533,-1618,-149,1192, 
1621388149.300389,-1652,-150,1178, 
1621388149.340245,-1582,-115,1173, 
1621388149.380101,-1586,-113,1173, 
1621388149.419956,-1654,-154,1208, 
1621388149.459812,-1647,-42,1174, 
1621388149.499668,-1645,-17,1140,84584,23853, 
1621388149.539524,-1631,-154,1198, 
1621388149.579380,-1604,-124,1182, 
1621388149.619236,-1602,-56,1151, 
1621388149.659092,-1607,-117,1182, 
1621388149.698948,-1616,-84,1165, 
1621388149.738804,-1613,-24,1171, 
1621388149.778660,-1634,-99,1226, 
1621388149.818516,-1649,-115,1192, 
1621388149.858372,-1602,-68,1144, 
1621388149.898228,-1600,-109,1174, 
1621388149.938084,-1613,-143,1201, 
1621388149.977940,-1599,-88,1174, 
