"","Index","Date","Time","Latitude","Longitude","Altitude","Speed","Course","Distance","Type","Timeout","MSVs_QCN","Weight.Criteria","SleepTime","EHPE","Satelite.ID","Satelite"
"1",1515," 2017/12/12"," 00:51:41",43.601151,-116.205132,793.549988,1476,53,62.55863," 00(00000001)",23," C9"," 32",0,2368,71336256,"  -----X-- -X------ X------X -X------"
"2",1516," 2017/12/12"," 00:56:37",43.601322,-116.205002,759.98999,0,249,21.758193," 00(00000001)",19," B8"," 3C",0,2240,608207168,"  --X--X-- -X------ X------X -X------"
"3",1517," 2017/12/12"," 12:56:28",43.613758,-116.204277,907.849976,26280,8,1384.041239," 00(00000001)",87," CA"," 36",0,2208,1091043344,"  -X-----X ----X--- -------- ---X----"
"4",1518," 2017/12/12"," 13:06:17",43.62318,-116.209717,814.909973,48708,124,1135.541914," 00(00000001)",20," C6"," 3C",0,1184,1091047440,"  -X-----X ----X--- ---X---- ---X----"
"5",1519," 2017/12/12"," 13:16:28",43.618176,-116.210907,879.829956,0,262,564.703969," 00(00000001)",14," CA"," 3C",0,1536,17322000,"  -------X ----X--- -X-X---- ---X----"
"6",1520," 2017/12/12"," 13:59:29",43.617702,-116.249115,834.389954,102564,258,3076.202869," 00(00000001)",18," C9"," 3C",0,2224,17354768,"  -------X ----X--- XX-X---- ---X----"
"7",1521," 2017/12/12"," 14:07:00",43.593227,-116.404449,828.059998,108900,269,12799.724092," 00(00000001)",9," CB"," 3C",0,2016,17354768,"  -------X ----X--- XX-X---- ---X----"
"8",1522," 2017/12/12"," 14:11:55",43.59898,-116.51503,828.72998,109764,265,8927.925937," 00(00000001)",8," CB"," 3C",0,1792,17354768,"  -------X ----X--- XX-X---- ---X----"
"9",1523," 2017/12/12"," 14:16:52",43.606949,-116.599602,774.469971,66564,224,6867.155802," 00(00000001)",8," C8"," 3C",0,1296,17354768,"  -------X ----X--- XX-X---- ---X----"
"10",1524," 2017/12/12"," 14:21:51",43.604271,-116.65432,760.619995,66312,269,4415.767001," 00(00000001)",10," CB"," 3C",0,1888,17354768,"  -------X ----X--- XX-X---- ---X----"
"11",1525," 2017/12/12"," 14:26:51",43.603245,-116.740768,779.619995,107568,269,6961.713179," 00(00000001)",8," CB"," 3C",0,1888,17354768,"  -------X ----X--- XX-X---- ---X----"
"12",1526," 2017/12/12"," 14:31:52",43.55822,-116.791718,731.690002,72432,179,6473.625242," 00(00000001)",9," CA"," 3C",0,1600,17355280,"  -------X ----X--- XX-X--X- ---X----"
"13",1527," 2017/12/12"," 14:36:58",43.545052,-116.837448,724.159973,73404,269,3965.609286," 00(00000001)",13," C8"," 32",0,1600,17355280,"  -------X ----X--- XX-X--X- ---X----"
"14",1528," 2017/12/12"," 14:42:17",43.545734,-116.850868,711.25,14220,334,1084.285692," 00(00000001)",24," C9"," 3C",0,2432,578064,"  -------- ----X--- XX-X--X- ---X----"
"15",1529," 2017/12/12"," 14:47:22",43.477173,-116.862244,822.5,117504,190,7678.689736," 00(00000001)",12," CA"," 3C",0,2240,578064,"  -------- ----X--- XX-X--X- ---X----"
"16",1530," 2017/12/12"," 14:52:33",43.404282,-116.872276,1182.039917,97200,247,8145.510053," 00(00000001)",16," C8"," 3C",0,2752,578064,"  -------- ----X--- XX-X--X- ---X----"
"17",1531," 2017/12/12"," 14:57:39",43.350349,-116.942047,1311.949951,108144,234,8231.771994," 00(00000001)",10," C9"," 3C",0,2512,578064,"  -------- ----X--- XX-X--X- ---X----"
"18",1532," 2017/12/12"," 15:02:48",43.32489,-116.98584,1234.959961,64440,347,4534.093124," 00(00000001)",13," C7"," 3C",0,1984,67686928,"  -----X-- ----X--- XX-X--X- ---X----"
"19",1533," 2017/12/12"," 15:07:54",43.332767,-117.042274,1192.630005,66132,262,4648.065154," 00(00000001)",11," C9"," 3C",0,2592,67686928,"  -----X-- ----X--- XX-X--X- ---X----"
"20",1534," 2017/12/12"," 15:13:01",43.324635,-117.098785,1173.669922,27252,236,4659.567579," 00(00000001)",11," C6"," 3C",0,2096,67686928,"  -----X-- ----X--- XX-X--X- ---X----"
"21",1535," 2017/12/12"," 15:18:18",43.325668,-117.104607,1082.439941,0,176,484.713646," 00(00000001)",21," C2"," 3C",0,2288,67162640,"  -----X-- -------- XX-X--X- ---X----"
"22",1536," 2017/12/12"," 15:23:39",43.325844,-117.1045,1129.919922,864,273,21.339401," 00(00000001)",26," B5"," 32",0,2544,67686912,"  -----X-- ----X--- XX-X--X- --------"
"23",1537," 2017/12/12"," 15:29:26",43.32592,-117.104614,1152.619995,0,68,12.556454," 00(00000001)",31," B7"," 3C",0,2496,67686912,"  -----X-- ----X--- XX-X--X- --------"
"24",1538," 2017/12/12"," 15:36:29",43.325829,-117.104797,1175.48999,1944,322,17.972621," 00(00000001)",31," C5"," 3C",0,2496,67158528,"  -----X-- -------- XX----X- --------"
"25",1539," 2017/12/12"," 15:44:51",43.326332,-117.10527,1176.900024,1584,310,67.816229," 00(00000001)",54," B4"," 32",0,3856,67682816,"  -----X-- ----X--- XX----X- --------"
"26",1540," 2017/12/12"," 15:55:01",43.326248,-117.105034,1146.929932,612,15,21.285919," 00(00000001)",30," C5"," 3C",0,848,336122368,"  ---X-X-- ----X--- XX-X--X- --------"
"27",1541," 2017/12/12"," 16:05:50",43.326141,-117.104958,1153.969971,1800,262,13.384577," 00(00000001)",32," C2"," 3C",0,1904,335598080,"  ---X-X-- -------- XX-X--X- --------"
"28",1542," 2017/12/12"," 16:19:00",43.326294,-117.10479,1179.569946,684,340,21.730531," 00(00000001)",23," B4"," 32",0,1520,-1778363904,"  X--X-XX- -------- -X-X--X- --------"
"29",1543," 2017/12/12"," 16:28:54",43.326458,-117.10527,1134.25,756,147,42.945446," 00(00000001)",11," B7"," 32",0,1280,-1778331136,"  X--X-XX- -------- XX-X--X- --------"
"30",1544," 2017/12/12"," 16:34:14",43.326599,-117.105186,1189.959961,0,129,17.099716," 00(00000001)",20," B6"," 3C",0,1856,67686912,"  -----X-- ----X--- XX-X--X- --------"
"31",1545," 2017/12/12"," 16:41:47",43.317902,-117.113762,1202.51001,720,130,1190.190361," 00(00000001)",23," B8"," 32",0,1072,-2079796736,"  X----X-- ----X--- XX-X--X- --------"
"32",1546," 2017/12/12"," 16:54:51",43.332066,-117.110268,1177.959961,7092,229,1600.124572," 00(00000001)",20," BB"," 32",0,960,-2079796736,"  X----X-- ----X--- XX-X--X- --------"
"33",1547," 2017/12/12"," 17:02:15",43.331867,-117.110298,1161.76001,576,138,22.19478," 00(00000001)",18," BA"," 32",0,1328,-2079800832,"  X----X-- ----X--- XX----X- --------"
"34",1548," 2017/12/12"," 17:21:39",43.331944,-117.110367,1147.02002,792,286,10.139712," 00(00000001)",14," B8"," 32",0,1440,-2079833600,"  X----X-- ----X--- -X----X- --------"
"35",1549," 2017/12/12"," 17:27:03",43.331783,-117.110336,1151.859985,1080,121,17.985531," 00(00000001)",23," B7"," 32",0,2224,-2079833600,"  X----X-- ----X--- -X----X- --------"
"36",1550," 2017/12/12"," 17:32:41",43.332142,-117.110329,1139.98999,1404,275,39.877223," 00(00000001)",18," B6"," 32",0,1840,-2080357888,"  X----X-- -------- -X----X- --------"
"37",1551," 2017/12/12"," 17:38:23",43.331993,-117.110649,1203.280029,2160,38,30.746954," 00(00000001)",24," B5"," 34",0,2192,-2080357888,"  X----X-- -------- -X----X- --------"
"38",1552," 2017/12/12"," 17:44:39",43.334419,-117.113342,1212.079956,6192,354,346.736998," 00(00000001)",24," B6"," 32",0,2688,-2080357888,"  X----X-- -------- -X----X- --------"
"39",1553," 2017/12/12"," 17:51:30",43.337425,-117.113914,1211.179932,4500,356,337.438361," 00(00000001)",41," A7"," 38",0,2720,-2080357888,"  X----X-- -------- -X----X- --------"
"40",1554," 2017/12/12"," 17:59:30",43.337685,-117.113388,1162.699951,288,77,51.42543," 00(00000001)",27," B8"," 32",0,1984,-2071969280,"  X----X-- X------- -X----X- --------"
"41",1555," 2017/12/12"," 18:08:30",43.337532,-117.113083,1049.329956,504,131,29.950439," 00(00000001)",69," B7"," 36",0,1568,-2138038272,"  X------- X--X---- --X----- --------"
"42",1556," 2017/12/12"," 18:20:00",43.336174,-117.111816,1152.349976,900,121,182.4671," 00(00000001)",44," A5"," 36",0,2016,-2138037632,"  X------- X--X---- --X---X- X-------"
"43",1557," 2017/12/12"," 18:32:27",43.336201,-117.111786,1160.169922,0,182,3.861098," 00(00000001)",15," B6"," 3C",0,864,-2138037632,"  X------- X--X---- --X---X- X-------"
"44",1558," 2017/12/12"," 18:42:12",43.337921,-117.113213,1144.549927,0,60,223.406343," 00(00000001)",12," B8"," 3C",0,896,-2138037632,"  X------- X--X---- --X---X- X-------"
"45",1559," 2017/12/12"," 18:47:03",43.339275,-117.113831,1138.869995,0,216,158.659345," 00(00000001)",14," B7"," 3C",0,1088,9446016,"  -------- X--X---- --X---X- X-------"
"46",1560," 2017/12/12"," 18:51:53",43.339371,-117.113899,1148.619995,0,237,11.970348," 00(00000001)",12," B5"," 3C",0,1440,-2138037760,"  X------- X--X---- --X---X- --------"
"47",1561," 2017/12/12"," 18:56:41",43.339317,-117.113823,1161.309937,0,224,8.563578," 00(00000001)",10," B7"," 3C",0,880,-2138037632,"  X------- X--X---- --X---X- X-------"
"48",1562," 2017/12/12"," 19:01:30",43.338997,-117.113976,1144.199951,0,172,37.707113," 00(00000001)",10," BA"," 3C",0,752,-2138037632,"  X------- X--X---- --X---X- X-------"
"49",1563," 2017/12/12"," 19:06:28",43.337383,-117.11338,1169.880005,2520,184,185.768521," 00(00000001)",20," B9"," 3C",0,3008,-2147474816,"  X------- -------- --X---X- X-------"
"50",1564," 2017/12/12"," 19:11:33",43.3368,-117.112953,1161.959961,396,288,73.524176," 00(00000001)",27," B6"," 3C",0,1248,-2138955135,"  X------- X-----X- --X---X- X------X"
"51",1565," 2017/12/12"," 19:16:39",43.335842,-117.112282,1162.969971,2016,24,119.514969," 00(00000001)",9," B9"," 3C",0,768,-2138955135,"  X------- X-----X- --X---X- X------X"
"52",1566," 2017/12/12"," 19:21:27",43.334999,-117.112495,1149.530029,0,186,95.321526," 00(00000001)",10," B7"," 3C",0,736,-2138955135,"  X------- X-----X- --X---X- X------X"
"53",1567," 2017/12/12"," 19:26:14",43.332531,-117.1129,1158.799927,0,213,276.382984," 00(00000001)",9," B9"," 3C",0,864,-2138955135,"  X------- X-----X- --X---X- X------X"
"54",1568," 2017/12/12"," 19:31:02",43.33139,-117.112984,1160.079956,0,167,127.009835," 00(00000001)",9," B8"," 3C",0,624,-2138955136,"  X------- X-----X- --X---X- X-------"
"55",1569," 2017/12/12"," 19:35:50",43.328548,-117.112869,1166.449951,0,174,316.145903," 00(00000001)",11," B9"," 3C",0,864,-2138955135,"  X------- X-----X- --X---X- X------X"
"56",1570," 2017/12/12"," 19:40:40",43.327431,-117.112778,1163.929932,0,356,124.503703," 00(00000001)",13," B6"," 3C",0,752,-2138955135,"  X------- X-----X- --X---X- X------X"
"57",1571," 2017/12/12"," 19:45:30",43.326378,-117.112503,1173.880005,0,9,119.161687," 00(00000001)",13," B5"," 3C",0,944,-2138955135,"  X------- X-----X- --X---X- X------X"
"58",1572," 2017/12/12"," 19:50:19",43.325832,-117.112648,1153.150024,0,176,61.779979," 00(00000001)",12," B7"," 3C",0,1120,-2147343743,"  X------- ------X- --X---X- X------X"
"59",1573," 2017/12/12"," 19:55:17",43.325531,-117.112534,1160.419922,0,195,34.764977," 00(00000001)",19," B8"," 3C",0,2080,-2147343743,"  X------- ------X- --X---X- X------X"
"60",1574," 2017/12/12"," 20:00:19",43.323601,-117.113159,1157.640015,0,194,220.517979," 00(00000001)",25," B7"," 3C",0,3376,139905,"  -------- ------X- --X---X- X------X"
"61",1575," 2017/12/12"," 20:05:18",43.32193,-117.114754,1156.569946,4932,200,226.176298," 00(00000001)",21," B8"," 3C",0,2288,139905,"  -------- ------X- --X---X- X------X"
