State,Crude.Rate,,,,Chi-Square Components,Test Statistic,P-Value,df,1.5IQR Test upper bound,Outlier?
Alabama,2.7,4.9,-2.2,4.84,0.987755102,133.8326531,0,43,14.1,FALSE
Alaska,6.9,4.9,2,4,0.8163265306,,,,,FALSE
Arizona,4.4,4.9,-0.5,0.25,0.05102040816,,,,,FALSE
California,1.5,4.9,-3.4,11.56,2.359183673,,,,,FALSE
Colorado,4.3,4.9,-0.6,0.36,0.07346938776,,,,,FALSE
Connecticut,12.7,4.9,7.8,60.84,12.41632653,,,,,FALSE
Delaware,5.9,4.9,1,1,0.2040816327,,,,2.6,FALSE
District of Columbia,18.4,4.9,13.5,182.25,37.19387755,,,,7.2,TRUE
Florida,3.3,4.9,-1.6,2.56,0.5224489796,,,,4.6,FALSE
Georgia,2.3,4.9,-2.6,6.76,1.379591837,,,,6.9,FALSE
Hawaii,1.4,4.9,-3.5,12.25,2.5,,,,,FALSE
Idaho,1.5,4.9,-3.4,11.56,2.359183673,,,,,FALSE
Illinois,8.3,4.9,3.4,11.56,2.359183673,,,,,FALSE
Indiana,4.6,4.9,-0.3,0.09,0.01836734694,,,,,FALSE
Iowa,1.5,4.9,-3.4,11.56,2.359183673,,,,,FALSE
Kansas,1.1,4.9,-3.8,14.44,2.946938776,,,,,FALSE
Kentucky,7.1,4.9,2.2,4.84,0.987755102,,,,,FALSE
Louisiana,3.2,4.9,-1.7,2.89,0.5897959184,,,,,FALSE
Maine,4.1,4.9,-0.8,0.64,0.1306122449,,,,,FALSE
Maryland,10.9,4.9,6,36,7.346938776,,,,,FALSE
Massachusetts,9.4,4.9,4.5,20.25,4.132653061,,,,,FALSE
Michigan,7.3,4.9,2.4,5.76,1.175510204,,,,,FALSE
Minnesota,2.7,4.9,-2.2,4.84,0.987755102,,,,,FALSE
Mississippi,1.1,4.9,-3.8,14.44,2.946938776,,,,,FALSE
Missouri,6.4,4.9,1.5,2.25,0.4591836735,,,,,FALSE
Nevada,3.2,4.9,-1.7,2.89,0.5897959184,,,,,FALSE
New Hampshire,2.6,4.9,-2.3,5.29,1.079591837,,,,,FALSE
New Jersey,9.8,4.9,4.9,24.01,4.9,,,,,FALSE
New Mexico,8.1,4.9,3.2,10.24,2.089795918,,,,,FALSE
New York,6.7,4.9,1.8,3.24,0.6612244898,,,,,FALSE
North Carolina,5.4,4.9,0.5,0.25,0.05102040816,,,,,FALSE
Ohio,12.9,4.9,8,64,13.06122449,,,,,FALSE
Oklahoma,1.4,4.9,-3.5,12.25,2.5,,,,,FALSE
Oregon,2.9,4.9,-2,4,0.8163265306,,,,,FALSE
Pennsylvania,7.3,4.9,2.4,5.76,1.175510204,,,,,FALSE
Rhode Island,2.5,4.9,-2.4,5.76,1.175510204,,,,,FALSE
South Carolina,2.3,4.9,-2.6,6.76,1.379591837,,,,,FALSE
Tennessee,4,4.9,-0.9,0.81,0.1653061224,,,,,FALSE
Texas,2,4.9,-2.9,8.41,1.716326531,,,,,FALSE
Utah,5.5,4.9,0.6,0.36,0.07346938776,,,,,FALSE
Vermont,7.2,4.9,2.3,5.29,1.079591837,,,,,FALSE
Virginia,5.4,4.9,0.5,0.25,0.05102040816,,,,,FALSE
Washington,4,4.9,-0.9,0.81,0.1653061224,,,,,FALSE
West Virginia,12.9,4.9,8,64,13.06122449,,,,,FALSE
Wisconsin,6.8,4.9,1.9,3.61,0.7367346939,,,,,FALSE
,4.9,,,,,,,,,
