State,Crude.Rate,Expected,,,Chi-Square Components,Test Statistic,P-Value,df,1.5IQR test upper bound,Outlier?
Alabama,1.2,2.3,-1.1,1.21,0.5260869565,304.4565217,0,37,6.2,FALSE
Arizona,1.1,2.3,-1.2,1.44,0.6260869565,,,,,FALSE
Arkansas,3.2,2.3,0.9,0.81,0.352173913,,,,,FALSE
California,1.2,2.3,-1.1,1.21,0.5260869565,,,,,FALSE
Colorado,3.2,2.3,0.9,0.81,0.352173913,,,,1.2,FALSE
Connecticut,1.2,2.3,-1.1,1.21,0.5260869565,,,,3.2,FALSE
Delaware,9.2,2.3,6.9,47.61,20.7,,,,,TRUE
Florida,4.2,2.3,1.9,3.61,1.569565217,,,,,FALSE
Georgia,1.6,2.3,-0.7,0.49,0.2130434783,,,,,FALSE
Hawaii,2.5,2.3,0.2,0.04,0.01739130435,,,,,FALSE
Idaho,1.5,2.3,-0.8,0.64,0.2782608696,,,,,FALSE
Illinois,3.7,2.3,1.4,1.96,0.852173913,,,,,FALSE
Indiana,1.1,2.3,-1.2,1.44,0.6260869565,,,,,FALSE
Kansas,1.3,2.3,-1,1,0.4347826087,,,,,FALSE
Kentucky,1.8,2.3,-0.5,0.25,0.1086956522,,,,,FALSE
Louisiana,2.1,2.3,-0.2,0.04,0.01739130435,,,,,FALSE
Maryland,3.2,2.3,0.9,0.81,0.352173913,,,,,FALSE
Massachusetts,1,2.3,-1.3,1.69,0.7347826087,,,,,FALSE
Michigan,2.5,2.3,0.2,0.04,0.01739130435,,,,,FALSE
Minnesota,3.1,2.3,0.8,0.64,0.2782608696,,,,,FALSE
Missouri,7.3,2.3,5,25,10.86956522,,,,,TRUE
Nevada,1.2,2.3,-1.1,1.21,0.5260869565,,,,,FALSE
New Jersey,1.9,2.3,-0.4,0.16,0.06956521739,,,,,FALSE
New York,1,2.3,-1.3,1.69,0.7347826087,,,,,FALSE
North Carolina,4.4,2.3,2.1,4.41,1.917391304,,,,,FALSE
North Dakota,3.7,2.3,1.4,1.96,0.852173913,,,,,FALSE
Ohio,3.2,2.3,0.9,0.81,0.352173913,,,,,FALSE
Oklahoma,0.6,2.3,-1.7,2.89,1.256521739,,,,,FALSE
Oregon,4.4,2.3,2.1,4.41,1.917391304,,,,,FALSE
Pennsylvania,1,2.3,-1.3,1.69,0.7347826087,,,,,FALSE
Rhode Island,5.9,2.3,3.6,12.96,5.634782609,,,,,FALSE
South Carolina,2,2.3,-0.3,0.09,0.03913043478,,,,,FALSE
Tennessee,2.2,2.3,-0.1,0.01,0.004347826087,,,,,FALSE
Texas,0.4,2.3,-1.9,3.61,1.569565217,,,,,FALSE
Utah,2.9,2.3,0.6,0.36,0.1565217391,,,,,FALSE
Virginia,2.8,2.3,0.5,0.25,0.1086956522,,,,,FALSE
Washington,2.6,2.3,0.3,0.09,0.03913043478,,,,,FALSE
West Virginia,26.2,2.3,23.9,571.21,248.3521739,,,,,TRUE
Wisconsin,3,2.3,0.7,0.49,0.2130434783,,,,,FALSE
,2.3,,,,,,,,,
