State,Crude.Rate,,,,Chi-Square Components,Test Statistic,P-Value,df,1.5IQR Test upper bound,Outlier?
Alabama,3.2,7,-3.8,14.44,2.062857143,374.8971429,0,43,21.35,FALSE
Alaska,3.5,7,-3.5,12.25,1.75,,,,,FALSE
Arizona,2.6,7,-4.4,19.36,2.765714286,,,,,FALSE
Arkansas,1.3,7,-5.7,32.49,4.641428571,,,,,FALSE
California,1.3,7,-5.7,32.49,4.641428571,,,,,FALSE
Colorado,1.9,7,-5.1,26.01,3.715714286,,,,2.6,FALSE
Connecticut,14.1,7,7.1,50.41,7.201428571,,,,10.1,FALSE
Delaware,8.4,7,1.4,1.96,0.28,,,,7.5,FALSE
District of Columbia,19.1,7,12.1,146.41,20.91571429,,,,11.25,FALSE
Florida,8.1,7,1.1,1.21,0.1728571429,,,,,FALSE
Georgia,3.4,7,-3.6,12.96,1.851428571,,,,,FALSE
Idaho,1.2,7,-5.8,33.64,4.805714286,,,,,FALSE
Illinois,8.3,7,1.3,1.69,0.2414285714,,,,,FALSE
Indiana,6.3,7,-0.7,0.49,0.07,,,,,FALSE
Iowa,2,7,-5,25,3.571428571,,,,,FALSE
Kansas,1.1,7,-5.9,34.81,4.972857143,,,,,FALSE
Kentucky,12.2,7,5.2,27.04,3.862857143,,,,,FALSE
Louisiana,2.9,7,-4.1,16.81,2.401428571,,,,,FALSE
Maine,15.1,7,8.1,65.61,9.372857143,,,,,FALSE
Maryland,22.3,7,15.3,234.09,33.44142857,,,,,TRUE
Massachusetts,28.5,7,21.5,462.25,66.03571429,,,,,TRUE
Michigan,10.1,7,3.1,9.61,1.372857143,,,,,FALSE
Minnesota,1.8,7,-5.2,27.04,3.862857143,,,,,FALSE
Mississippi,2.2,7,-4.8,23.04,3.291428571,,,,,FALSE
Missouri,7.9,7,0.9,0.81,0.1157142857,,,,,FALSE
Nevada,3.5,7,-3.5,12.25,1.75,,,,,FALSE
New Hampshire,27.6,7,20.6,424.36,60.62285714,,,,,TRUE
New Jersey,8.7,7,1.7,2.89,0.4128571429,,,,,FALSE
New Mexico,3.7,7,-3.3,10.89,1.555714286,,,,,FALSE
New York,9.4,7,2.4,5.76,0.8228571429,,,,,FALSE
North Carolina,6.4,7,-0.6,0.36,0.05142857143,,,,,FALSE
Ohio,21.7,7,14.7,216.09,30.87,,,,,TRUE
Oklahoma,2.5,7,-4.5,20.25,2.892857143,,,,,FALSE
Oregon,1.7,7,-5.3,28.09,4.012857143,,,,,FALSE
Pennsylvania,11,7,4,16,2.285714286,,,,,FALSE
Rhode Island,21.6,7,14.6,213.16,30.45142857,,,,,TRUE
South Carolina,5.5,7,-1.5,2.25,0.3214285714,,,,,FALSE
Tennessee,6.7,7,-0.3,0.09,0.01285714286,,,,,FALSE
Texas,1.4,7,-5.6,31.36,4.48,,,,,FALSE
Utah,3.1,7,-3.9,15.21,2.172857143,,,,,FALSE
Vermont,8.8,7,1.8,3.24,0.4628571429,,,,,FALSE
Virginia,8.3,7,1.3,1.69,0.2414285714,,,,,FALSE
Washington,3.7,7,-3.3,10.89,1.555714286,,,,,FALSE
West Virginia,24.2,7,17.2,295.84,42.26285714,,,,,TRUE
Wisconsin,5.7,7,-1.3,1.69,0.2414285714,,,,,FALSE
,7,,,,,,,,,
